馬名    系統    価格(万)    下限    上限    ダート  成長    気性    底力    健康    実績    安定    B   I   C   S   P   総合    DI  CD  面白系統
モガミ  ノーザンダンサー系  600 1800    2400    ◎  普通    C   B   A   A   B   79  25  125 19  19  267 1.66    0.47    スインフォード.テディ.ファロス.フェアウェイ.
モガンボ    レイズアネイティヴ系    500 1600    2000    ○  普通    B   B   A   B   B   101 46  99  32  14  292 2.06    0.64    シックル.セントサイモン.ファロス.
モンテプリンス  サンインロー系  30  2200    3000    ○  晩成    B   C   B   C   B   13  30  77  61  50  231 0.55    0.45    スインフォード.セントサイモン.ハンプトン.
ヤエノムテキ    ノーザンダンサー系  100 1400    2000    ○  普通    B   C   A   C   B   56  24  85  31  4   200 1.58    0.49    ファラモンド.ファロス.フェアウェイ.
ヤマニンスキー  ノーザンダンサー系  300 1400    2000    ○  普通    B   B   A   A   B   56  34  153 54  7   304 1.21    0.26    テディ.ファラモンド.ファロス.
ヤワ    クラリオン系    50  2000    2400    ○  普通    B   C   B   C   C   4   54  116 12  35  221 1.1 0.9 セントサイモン.ハンプトン.ヘロド.マッチェム.
ライフタテヤマ  ロックフェラ系  30  1600    2000    ◎  晩成    B   C   A   C   C   35  33  38  11  30  147 1.45    0.22    ハンプトン.ファロス.
ラグビーボール  ノーザンダンサー系  200 1800    2200    ○  晩成    A   B   B   B   C   42  26  101 14  36  219 1.18    0.11    スインフォード.セントサイモン.ファロス.ヘロド.
ラシアンボンド  ノーザンダンサー系  180 1200    1600    ○  早熟    B   C   B   B   A   107 77  104 21  7   316 2.95    0.81    テディ.ファロス.
ラシアンルーブル    ノーザンダンサー系  260 1800    2400    ○  普通    B   A   C   B   C   55  45  162 62  9   333 1.19    0.23    セントサイモン.テディ.ファラモンド.ファロス.
ラストタイクーン    ノーザンダンサー系  500 1600    2400    ○  普通    B   B   A   B   B   72  55  119 38  12  296 1.7 0.46    ファラモンド.ファロス.
ラッキーソヴリン    ノーザンダンサー系  300 1600    2000    ○  普通    A   C   B   B   A   95  44  117 51  11  318 1.64    0.51    テディ.ファロス.
ランズダーン    ノーザンダンサー系  100 1200    1800    ○  普通    B   C   B   C   B   114 64  136 20  39  373 1.94    0.52    ファラモンド.ファロス.フェアウェイ.
ランドヒリュウ  ネヴァーベンド系    100 1800    2200    ○  普通    B   C   B   C   C   67  73  49  39  19  247 1.99    0.53    テディ.ファロス.ヘロド.
ランニングフリー    サーゲイロード系    80  1800    2200    ○  普通    A   C   A   B   C   57  59  75  24  14  229 2.03    0.53    ファロス.フェアウェイ.ヘロド.
リーチ  エタン系    160 1400    1800    ○  普通    B   C   B   B   C   107 68  132 26  8   341 2.41    0.7 シックル.テディ.ファロス.
リードホーユー  スインフォード系    30  1800    2200    ○  普通    B   C   B   C   C   42  21  68  35  26  192 1.02    0.9 スインフォード.ファロス.ヘロド.
リードワンダー  ソヴリンパス系  120 1200    1800    ○  早熟    A   C   B   C   A   57  26  28  25  36  172 1.29    0.25    ファロス.マッチェム.
リアルシャダイ  ヘイルトゥリーズン系    1000    1800    3000    △  持続    A   B   C   A   A   57  42  175 26  17  317 1.43    0.3 ハンプトン.ファロス.マッチェム.
リヴリア    ネヴァーベンド系    700 1800    2200    ○  普通    B   A   B   A   A   52  83  145 31  30  341 1.55    0.28    セントサイモン.ハンプトン.ファロス.
リズム  レイズアネイティヴ系    400 1400    1800    ○  早熟    B   B   B   B   A   123 58  148 28  9   366 2.3 0.7 シックル.ファラモンド.ファロス.
リンドシェーバー    レイズアネイティヴ系    500 1400    1800    ○  普通    B   B   A   B   B   81  39  131 27  12  290 1.78    0.52    シックル.ハンプトン.ファロス.
ルション    ネヴァーベンド系    240 1400    2000    ○  普通    B   C   A   B   B   74  84  110 33  9   310 2.2 0.58    シックル.スインフォード.セントサイモン.ファロス.
レジェンドテイオー  ノーザンダンサー系  80  1600    2200    ○  普通    A   C   B   C   B   64  32  100 40  18  254 1.35    0.33    テディ.ファロス.
レッツゴーターキン  プリンスキロ系  30  1600    2000    ○  晩成    B   C   B   C   C   60  35  57  56  12  220 1.28    0.34    エクリプス.セントサイモン.ファロス.
ロイヤルアカデミー  ノーザンダンサー系  350 1200    2000    ○  普通    B   B   B   A   B   72  38  104 48  7   269 1.51    0.45    エクリプス.オーランド.テディ.ファロス.
ロイヤルスキー  ボールドルーラー系  180 1400    1800    ◎  早熟    C   C   A   B   B   74  62  38  29  23  226 2.18    0.6 ファロス.ヘロド.マッチェム.
ロドリゴデトリアーノ    ノーザンダンサー系  400 1600    2000    ○  普通    B   A   B   C   C   104 52  91  23  8   278 2.63    0.79    オーランド.ファラモンド.ファロス.
ワージブ    ノーザンダンサー系  240 1400    2000    ○  普通    B   B   B   B   B   56  33  95  20  27  231 1.44    0.31    セントサイモン.ファラモンド.ファロス.マッチェム.
ワカオライデン  ボールドルーラー系  150 1400    2000    ◎  普通    C   A   B   B   B   46  42  38  14  26  166 1.81    0.41    スインフォード.ハンプトン.ファロス.マッチェム.
ワッスルタッチ  ノーザンダンサー系  260 1600    2000    ◎  普通    B   B   C   B   A   90  59  122 26  30  327 1.79    0.47    シックル.セントサイモン.ファラモンド.ファロス.
A.P.Indy    ボールドルーラー系  900級  1800    2400    ○  普通    B   A   A   A   B   76  51  112 42  4   285 1.79    0.54    セントサイモン.ファラモンド.ファロス.
Bering  ネイティヴダンサー系    500級   1600    2200    △  持続    B   A   B   A   B   44  35  101 51  45  276 0.88    0.7 シックル.セントサイモン.テディ.ファロス.
Black_Tie_Affair    レイズアネイティヴ系    500級   1800    2400    ○  普通    B   A   B   B   B   68  54  99  26  5   252 2.13    0.61    シックル.スインフォード.ファラモンド.ファロス.
Broad_Brush ヒムヤー系  700級   1800    2200    ◎  晩成    A   B   A   B   C   62  95  97  25  29  308 2   0.44    オーランド.セントサイモン.ファロス.
Caerleon    ノーザンダンサー系  2200級  1400    2200    △  普通    B   A   A   A   A   69  37  125 86  12  329 1.05    0.2 セントサイモン.テディ.ファロス.
Capote  ボールドルーラー系  800級   1400    2000    ○  早熟    A   B   A   B   A   88  36  84  29  9   246 2.08    0.67    セントサイモン.ハンプトン.ファロス.
Cozzene フォルティノ系  800級   1400    2000    △  普通    A   A   B   A   B   41  71  127 27  30  296 1.46    0.22    セントサイモン.ファロス.マッチェム.
Danzig  ノーザンダンサー系  2500級  1000    1800    ○  普通    A   A   C   A   A   111 62  99  24  22  318 2.33    0.68    シックル.テディ.ファロス.フェアウェイ.
Darshaan    ネヴァーベンド系    600級   2000    3000    △  晩成    B   A   A   A   A   32  58  51  41  15  197 1.42    0.26    ファロス.ヘロド.マッチェム.
Devil's_Bag ヘイルトゥリーズン系    600級   1200    2000    ◎  早熟    A   A   A   B   B   59  46  142 34  41  322 1.21    0.15    スインフォード.ハンプトン.ファラモンド.ファロス.
Diesis  エタン系    600級   1400    2000    △  普通    A   B   A   A   B   60  34  76  35  46  251 1.11    0.11    シックル.スインフォード.テディ.ハンプトン.
El_Gran_Senor   ノーザンダンサー系  600級   1600    2200    ○  普通    B   A   B   A   A   87  58  159 37  14  355 1.72    0.47    シックル.ハンプトン.ファラモンド.ファロス.
Fairy_King  ノーザンダンサー系  1000級  1600    2200    ○  普通    A   A   B   A   A   97  56  133 24  17  327 2.04    0.59    シックル.ハンプトン.ファロス.
Gone_West   レイズアネイティヴ系    1800級  1400    2200    ○  普通    B   A   A   A   A   113 55  95  38  8   309 2.3 0.73    シックル.ファラモンド.ファロス.
Green_Desert    ノーザンダンサー系  700級   1000    1400    ○  普通    B   A   B   A   B   80  106 141 26  14  367 2.32    0.58    テディ.ファロス.
Gulch   レイズアネイティヴ系    1000級  1200    1800    ○  早熟    A   B   A   A   A   94  37  93  31  16  271 1.9 0.6 シックル.テディ.ハンプトン.ファロス.
Highest_Honor   ゼダーン系  600級   1600    2000    △  普通    B   B   B   A   A   83  69  95  16  6   269 2.87    0.77    ファロス.ヘロド.
Indian_Ridge    クラリオン系    900級   1000    1600    ○  普通    B   A   B   A   A   61  42  28  6   11  148 3.77    0.92    エクリプス.テディ.ハンプトン.ヘロド.
Linamix ノーザンダンサー系  500級   1400    2000    △  晩成    B   A   B   B   B   55  29  58  26  39  207 1.2 0.17    スインフォード.テディ.ファロス.
Machiavellian   レイズアネイティヴ系    1200級  1400    2000    ○  普通    B   B   A   A   A   110 62  145 26  14  357 2.17    0.64    シックル.セントサイモン.ファロス.
Mt.Livermore    レッドゴッド系  900級   1200    1800    ○  普通    A   A   A   B   A   92  25  72  19  27  235 1.87    0.58    オーランド.セントサイモン.ファロス.
Mtoto   ブレニム系  500級   1800    2600    ○  晩成    B   A   B   B   C   23  21  53  34  114 245 0.4 0.8 スインフォード.セントサイモン.マッチェム.
Nureyev ノーザンダンサー系  2200級  1200    2000    ○  普通    A   A   B   A   A   104 49  138 22  20  333 2   0.59    シックル.ハンプトン.ファロス.
Phone_Trick ニアークティック系  800級   1000    1800    ◎  早熟    A   A   B   A   A   63  34  65  27  17  206 1.69    0.48    エクリプス.ファロス.マッチェム.
Pleasant_Colony リボー系    1000級  1600    2400    ○  晩成    A   A   B   A   B   45  26  138 18  26  253 1.24    0.18    オーランド.セントサイモン.ハンプトン.ファロス.
Rahy    レッドゴッド系  1200級  1400    2000    ○  早熟    B   A   A   B   A   93  38  128 23  40  322 1.54    0.38    セントサイモン.ハンプトン.ファロス.
Rainbow_Quest   レッドゴッド系  1200級  1600    2400    ○  普通    A   A   A   A   B   90  35  101 29  51  306 1.34    0.27    シックル.セントサイモン.ハンプトン.ファロス.
Red_Ransom  ヘイルトゥリーズン系    800級   1600    2200    ○  普通    B   B   B   B   A   77  58  179 27  19  360 1.66    0.41    テディ.ファロス.
Relaunch    インテント系    800級   1400    2000    ◎  普通    A   A   A   B   C   61  45  72  39  11  228 1.65    0.46    オーランド.スインフォード.マッチェム.
Risen_Star  ボールドルーラー系  800級   1600    2200    ◎  普通    A   A   B   B   B   64  56  114 44  19  297 1.48    0.34    セントサイモン.ファロス.
Sadler's_Wells  ノーザンダンサー系  2500級  1600    2600    ○  持続    A   A   A   A   A   97  56  133 24  17  327 2.04    0.59    シックル.ハンプトン.ファロス.
Seeking_the_Gold    レイズアネイティヴ系    2000級  1200    1800    ◎  普通    A   B   A   A   A   89  49  141 35  12  326 1.77    0.52    シックル.テディ.ファラモンド.ファロス.
Slew_o'Gold ボールドルーラー系  600級   1800    2400    ○  晩成    B   A   A   B   C   58  34  131 37  4   264 1.48    0.4 セントサイモン.ファラモンド.ファロス.
Spend_a_Buck    トムフール系    500級   1600    2200    ○  普通    B   B   B   B   C   39  66  114 28  10  257 1.71    0.37    セントサイモン.ハンプトン.ファラモンド.ファロス.
Storm_Cat   ノーザンダンサー系  2200級  1200    2000    ◎  早熟    B   A   A   A   A   72  59  63  30  7   231 2.37    0.69    オーランド.テディ.ファロス.
Theatrical  ノーザンダンサー系  1400級  1600    2200    ○  普通    A   A   B   A   A   73  34  161 16  27  311 1.52    0.35    ハンプトン.ファロス.マッチェム.
Tropular    フェアトライアル系  500級   1800    2200    ○  普通    B   A   B   B   C   41  59  51  17  39  207 1.54    0.22    セントサイモン.ハンプトン.フェアウェイ.ヘロド.
Unbridled   レイズアネイティヴ系    1300級  1400    2000    ○  早熟    A   B   A   A   A   54  39  73  19  60  245 1.12    0.3 オーランド.シックル.セントサイモン.マッチェム.
Wild_Again  ニアークティック系  800級   1600    2200    ◎  普通    A   A   A   B   B   90  86  119 26  19  340 2.25    0.59    シックル.ハンプトン.ファロス.
Woodman レイズアネイティヴ系    1500級  1200    2000    ◎  早熟    B   A   A   A   A   97  58  144 34  12  345 1.92    0.56    シックル.ハンプトン.ファラモンド.ファロス.
